galaxy_name,n_data_points,f_disk,f_disk_error,rho_c_Msun_kpc3,rho_c_error,r_c_kpc,r_c_error,chi_squared,chi_squared_reduced,degrees_of_freedom,soliton_mass_5rc_Msun,virial_mass_estimate_Msun,virial_radius_estimate_kpc,used_phonon_term,error_floor_fraction
NGC5985,33,0.7708319603557339,0.16733247290652054,1078677289.3164089,515104322.2002026,1.0464266020046589,0.2893088070291717,9.548411111104455,0.3182803703701485,30,56328382375.19944,671732180873.791,180.69773035382843,True,0.05
NGC6015,44,1.0289529262673949,0.01784780145332868,4742817.882870105,1393890.9332656742,11.82515361812888,2.8983861803698483,49.83550933491197,1.2155002276807798,41,357409631671.75806,171772991651.6494,114.69353521780394,True,0.05
NGC6195,23,0.8131480182315656,0.017262593733836314,1372822.0085753263,1037746.1133079203,49.999999999999986,93.22468991016078,8.69269485173473,0.4346347425867365,20,7820484784669.258,512326755968.03546,165.09591409475212,True,0.05
NGC6503,31,0.4614838162666558,0.09294627622256467,923686530.0209349,748675322.7766995,0.5016097507290574,0.20268720065706802,3.0568591691340417,0.1091735417547872,28,5312903773.6060705,72675354986.76869,86.10261999544312,True,0.05
NGC6674,15,1.1622665827793242,0.041335362505915525,1056095.5490669708,534494.9665995298,42.351969828584444,21.32209655792508,0.8332721249715624,0.06943934374763021,12,3656229811314.197,1007063360847.74,206.81065558807742,True,0.05
NGC6946,58,0.7291974260920712,0.027284662681918405,29455694.518974286,18408217.15314641,3.6312724846138726,1.3218027263857837,11.938778642566831,0.2170687025921242,55,64276942934.100494,118488433324.73912,101.33962631058691,True,0.05
NGC7331,36,0.6248791293403569,0.029436428364212435,25515949.572770275,16384937.36626292,6.158384458441534,2.3140612452283875,3.2999313347822943,0.0999979192358271,33,271594867044.04874,460018282000.13605,159.27428958753464,True,0.05
NGC7793,46,0.880081861901168,0.051908944303405646,28944856.28346809,25474714.097092595,2.391567781618447,1.3962731018419983,25.413560164550695,0.5910130270825743,43,18043837585.50922,18127370425.635456,54.199953747489005,True,0.05
NGC7814,18,0.7562042966780685,0.05378368979854968,155339209.77554786,144491202.36691597,2.229870034267187,1.1355482037821316,0.49313621315736333,0.032875747543824226,15,78492683152.05702,204785383976.20374,121.61494984161506,True,0.05
UGC00128,22,0.7422297068289456,0.4812465540972589,39041540.16327976,27875192.068251885,2.766129323818472,0.9351171723203082,2.295515577764544,0.12081660935602864,19,37657701909.3908,208155699693.34067,122.27849416217293,True,0.05
UGC00191,9,0.6606406685954388,0.974804063292858,115154129.99018747,135201018.24449286,1.0133496053151538,0.475617456955151,4.08541862125838,0.6809031035430633,6,5460933096.992055,16288621097.69392,52.301653570735056,True,0.05
UGC00731,12,2.0310705777055276,2.1019722438508013,50198893.728447974,56870161.80494141,1.245503955648985,0.45845533694913887,0.5661105878773216,0.06290117643081351,9,4420169354.808797,13864896866.04218,49.56702581394256,True,0.05
UGC00891,5,0.1000000000000149,6.051602484232977,15124038.673416087,10991565.266401516,2.895569132808509,1.4698932618355562,0.04920913323982433,0.024604566619912165,2,16733200837.20545,7015056814.074688,39.49702428323923,True,0.05
UGC01230,11,1.3395600631551046,0.9284008573787383,22385922.424631555,92537041.12957291,2.63327929226777,5.227414436225093,4.2550494358138105,0.5318811794767263,8,18628384592.967514,91748140920.3711,93.05786200120242,True,0.05
UGC01281,25,0.10000000000000002,23.897117339728442,28667154.169483114,68136360.65053314,1.9838193172109961,2.8652882754058133,4.452789721041383,0.20239953277460832,22,10200004325.762531,4210427619.5570664,33.31675649943467,True,0.05
UGC02023,5,0.531284564117408,1.289764446707651,10300071.275667727,29357073.643656373,49.99999999776625,17392.433355325942,0.03565168147907573,0.017825840739537864,2,58675888191191.28,2987223957.642538,29.71505743278478,True,0.05
UGC02259,8,0.4573068967315918,1.1492390816178994,394533947.7557507,190018405.99532098,0.6041905549666797,0.1317525484727537,0.44637472163435493,0.08927494432687098,5,3965661153.496503,14792545656.982365,50.64869798952186,True,0.05
UGC02455,8,0.2810966070481449,0.0754004671058757,7154975.0967922695,5498694.014984253,49.9999999998358,5395.5664753661395,2.788099111392958,0.5576198222785915,5,40759379969927.055,3099096507.9384737,30.0814670740191,True,0.05
UGC02487,17,1.0730047194034866,0.10197538435742626,9769897.843880897,16135254.804100802,13.455526610362064,12.674941514986335,2.667727170438724,0.19055194074562315,14,1084679795209.0276,1990755473029.683,259.55333822242403,True,0.05
UGC02885,19,0.9574911778029326,0.03320162782074601,2312125.7915548147,1094103.8640323759,30.151328585027343,11.51396415758644,6.3048877668218894,0.3940554854263681,16,2888286354482.0273,1555697934832.6375,239.07219621187338,True,0.05
UGC02916,43,0.7237947067744901,0.035544269647512984,62293379.92490002,48950368.99848164,3.0353319645266286,1.3212250311402947,44.269460765972696,1.1067365191493175,40,79390751174.28308,356610361247.4494,146.31380296012276,True,0.05
UGC02953,115,0.8220995073741189,0.011964820082654063,37068930.82637095,11550030.466678604,5.590813721368366,0.9667860689249864,71.08992735705128,0.6347314942593865,112,295219171044.78455,979563679541.1649,204.91081031535808,True,0.05
UGC03205,48,0.9892078212600652,0.015580075925056763,3549576.3486943943,1129395.734661144,19.568154675187337,6.063808309680162,43.456521678985574,0.9657004817552349,45,1212091955889.8237,442743160182.91003,157.25504949683645,True,0.05
UGC03546,30,0.6962343874988873,0.027548256306276463,45033744.1096809,32672037.321485102,3.738250394698295,1.591485360993488,2.4745482674464028,0.09164993583134826,27,107214283761.75798,244067244325.38434,128.94083510904665,True,0.05
UGC03580,47,0.5114105678028524,0.026160656355354313,48169669.05454099,11621594.504214713,2.4242065563082313,0.34083711395069005,25.70736169501307,0.5842582203412061,44,31274613861.64092,94700569670.00142,94.04553396609295,True,0.05
UGC04278,25,1.07921984740402,0.11818433956597407,9399771.436889425,2881338.0911001037,13.210468880773874,18.823567236342477,5.97043642776241,0.27138347398920043,22,987600770217.8604,14671822605.534658,50.510538881616505,True,0.05
UGC04305,22,0.8766447587619698,0.12660072594972116,10000.000057402222,8637492410.584967,0.050000000005892754,25533.801812023696,27.44544214632486,1.4444969550697295,19,56.96648788754124,1664985615.080091,24.454426070462347,True,0.05
UGC04325,8,1.2186815539756162,0.6063564190844419,230649222.7148358,117811209.99902727,0.6828690642462922,0.2330267320468299,3.024229005566504,0.6048458011133009,5,3347138939.2973385,11320692992.010181,46.32815273511802,True,0.05
UGC04483,8,0.10000000000027118,64.85670216443023,176123883.80537555,2167701226.575063,0.25793112112207806,1.6834744795939844,1.128128973710071,0.22562579474201422,5,137733289.74622092,169610992.60167938,11.421031026629024,True,0.05
UGC04499,9,0.10000000000000024,6.9496979947065505,65793664.173806556,117615755.28053866,1.3029197967195232,1.1136780346425423,0.6260742988469097,0.10434571647448494,6,6632031063.32327,10897650221.936848,45.74373276778455,True,0.05
UGC05005,11,0.6922664009324889,0.8626299445821164,6108141.532689187,9780763.021387141,6.120402721144812,5.8866678974406215,0.23463647199193904,0.02932955899899238,8,63820252732.790016,70581514717.89687,85.26765202914785,True,0.05
UGC05253,73,0.8357694480613075,0.011337769609074,23521071.04713038,8221976.950856093,5.8107725511672115,1.1877458903467173,28.955245088758595,0.4136463584108371,70,210313984885.5218,601443989723.2189,174.16158797333642,True,0.05
UGC05414,6,0.8353483222095338,0.46455836685686636,18667758.091757,28417946.91897946,2.5035553511313977,2.9592861535569877,0.18135537945676514,0.060451793152255046,3,13349751660.111637,3581269435.0404205,31.5669758607546,True,0.05
UGC05716,12,1.4823929714522368,0.23346674078199287,12629225.138577715,8234759.904045307,3.1053064732680586,1.3039683483005289,2.1962581655515536,0.24402868506128372,9,17234533823.261875,16209532102.519375,52.216866401682125,True,0.05
UGC05721,23,0.8165508123045002,0.5772944817839378,519643011.262472,913262005.1542706,0.4859250988749341,0.44597390191180064,10.27904176469825,0.5139520882349126,20,2717205689.614617,10576507246.386768,45.28990432076254,True,0.05
UGC05750,11,0.8175019493219955,0.7747319485734835,6629078.080457683,6196054.169584166,4.609607915713408,2.2260132298897886,1.3780253166966907,0.17225316458708634,8,29590651278.725437,39016212453.346245,69.97920675325355,True,0.05
UGC05764,10,0.2373362326457002,9.749158469704271,241523752.45858946,137915583.44281393,0.509922822031743,0.10895161726379018,8.88407124308225,1.2691530347260358,7,1459427837.3363369,2611291971.165904,28.412260676574228,True,0.05
UGC05829,11,0.10000000000000002,34.49048032153149,28737668.626468606,70019850.54621163,1.709842626100728,1.5348947881904456,0.934899055181827,0.11686238189772838,8,6546804636.887395,6826602446.207025,39.14012275890625,True,0.05
UGC05918,8,0.10000000000000112,33.33840268107744,65213572.98567535,79755623.02140833,0.8070870188194769,0.25048295459742004,0.0682313067754396,0.01364626135508792,5,1562458573.1616156,2038473259.588017,26.16107900604735,True,0.05
UGC05986,15,0.8056812923910337,0.26992806837231365,64005026.718157046,49660048.781387486,2.2006393532176984,0.9313449375907566,7.800874106016242,0.6500728421680202,12,31086379007.84599,30195197893.81649,64.24903456989747,True,0.05
UGC05999,5,0.10000000000000009,16.335408308351123,14730044.725354008,43445077.48459827,4.059079604459418,6.58587160896485,1.7073532120675565,0.8536766060337783,2,44894816474.23189,41413230256.70279,71.38391263421533,True,0.05
UGC06399,9,0.8220820519147141,2.0520056732857928,35799331.89312705,114900170.34134497,2.225667077753114,3.215133518904562,0.38094921734193354,0.0634915362236556,6,17987257679.316,14328701614.218616,50.11367579742803,True,0.05
UGC06446,17,1.5693953162581347,0.35752105443047816,26135063.835990254,35051318.52963358,2.184934949929479,1.7167351689331158,1.6655311440054175,0.11896651028610125,14,12423630594.32429,16700117673.761822,52.73842509979963,True,0.05
UGC06614,13,0.7552359785175653,0.07472845040531494,5197638.035466469,3849187.2503904905,13.592882641025462,6.580847054241387,1.0939681678477653,0.10939681678477653,10,594908484885.9468,684536109389.4042,181.8386088436889,True,0.05
UGC06667,9,0.10000000000000002,56.20431762676639,57194236.33144553,32165109.398761235,1.8245478424761437,0.44277733581451056,0.65983157681778,0.10997192946963001,6,15831696736.036037,14024288329.30158,49.756244136862016,True,0.05
UGC06786,45,0.8464646864266049,0.041813929876779794,77686326.98311275,33732904.820319176,3.3444997817649766,0.7947410458316454,10.901004453493528,0.25954772508317925,42,132448649280.17068,379637864023.4894,149.39766847030873,True,0.05
UGC06787,71,0.7784449128230232,0.015454440124025,78299298.1620466,16395953.216553578,3.7543533507219427,0.45888183155419415,43.539271063161195,0.6402833979876646,68,188830756726.3417,511168665734.2118,164.97142309505182,True,0.05
UGC06818,8,0.475298194470808,0.30297676411950863,10717652.425339838,6443601.214531101,5.769239431312808,4.522014022692928,3.9905667351506864,0.7981133470301373,5,93791782047.30635,9681252252.555971,43.9741875975858,True,0.05
UGC06917,11,0.411341764003616,1.9717739470871491,87388288.92458053,199141402.8013226,1.694249329045056,1.67716032312489,0.9014697774834214,0.11268372218542767,8,19368439539.32856,30271316303.293545,64.30297725977604,True,0.05
UGC06923,6,0.5398167803489676,0.5628067289308979,56079018.598866574,98626752.01351029,1.72338833212774,1.8243009418633864,1.169279213703997,0.3897597379013323,3,13081552215.67396,8377346570.7626505,41.90406360562289,True,0.05
UGC06930,10,0.6274210905034204,0.8645266625024429,75753135.35030825,134061894.3403478,1.6197388154163057,1.2119744727941972,0.8746782535620388,0.1249540362231484,7,14670503225.892254,45758647411.23611,73.7980759221737,True,0.05
UGC06973,9,0.4025944474607981,0.10308038472689574,274471210.0636042,471673955.81641275,1.5249523822463174,1.5177826531149798,0.4983277607025129,0.08305462678375215,6,44358318467.99477,57001144331.37896,79.40511960716398,True,0.05
UGC06983,17,0.7808643599730479,1.3841654012185378,79084530.39126629,310088923.2932641,1.6643796545543488,3.195738634083732,4.75988332990321,0.33999166642165785,14,16617212148.612339,45868723694.715225,73.85720436543359,True,0.05
UGC07089,12,0.9156492172226297,0.18831605001085217,3779691.010421747,4469798.123487112,9.638414560569549,17.643144974058558,0.9039385856974088,0.10043762063304543,9,154234856209.07248,13279027615.872822,48.858793386619844,True,0.05
UGC07125,13,0.7233441291290995,1.335971102050078,9862765.745606236,51752255.961847425,2.5109559222686926,6.6070192985417355,2.0285770133498633,0.20285770133498632,10,7115827555.117319,18488834677.381706,54.557838907893725,True,0.05
UGC07151,11,0.8665775160104009,0.9644949910931324,62292211.20927176,268451984.50693893,1.1888910081541504,2.377088712715718,3.9200404853832613,0.49000506067290767,8,4770559359.061693,7521223035.100025,40.42500993019419,True,0.05
UGC07261,7,0.4778123853047263,0.540653667974445,288719537.11143285,223907274.794618,0.5900775999946303,0.23227639849140366,0.06039929214644851,0.015099823036612128,4,2703416674.135092,9114167181.093725,43.09825068713668,True,0.05
UGC07323,10,0.9122851685859084,0.17682167786611544,8186904.168254858,10273128.158661444,6.956994714307972,13.764289854041271,1.121671215548158,0.1602387450783083,7,125630230434.13698,10136164267.406885,44.65243971578171,True,0.05
UGC07399,10,0.10000000000000002,37.36815699588691,486348096.38104266,2313276309.3946824,0.6695978782158445,1.4744948945921805,0.5189337669121099,0.07413339527315856,7,6654246061.012207,15059192105.717974,50.951214116078695,True,0.05
UGC07524,31,0.8720888826390413,0.2163486861590842,26264081.375852525,7992572.057843652,2.1284333477914474,0.3103233508219098,4.391284278733308,0.15683158138333245,28,11541222371.4066,17354556261.109997,53.418515808622686,True,0.05
UGC07559,7,0.1009396411637519,39.842007542855164,35118309.669974916,367615327.5632988,0.8785593883056705,5.07179209523586,0.3405145120289267,0.08512862800723167,4,1085316499.5777965,652355966.556042,17.8943334428937,True,0.05
UGC07577,9,0.5337409792385878,1.75535395583965,3273172.2068277844,22546266.281729925,49.99999999999756,207890.6351392319,0.2920562787914975,0.04867604646524958,6,18646112373780.992,114589236.2338444,10.021558231804741,True,0.05
UGC07603,12,0.4680749003989731,2.576050821930422,163915481.4191708,503913501.5083536,0.7623119500217852,1.2673204143239296,1.6683143272934138,0.1853682585881571,9,3309234828.4458227,4027666757.5912576,32.82755137112844,True,0.05
UGC07608,8,0.10000000000000075,33.73075905136025,46357117.27920672,78600571.81140673,1.7432381039367044,1.689432309437933,0.32613432189296054,0.06522686437859211,5,11191697974.367546,5343130972.785581,36.07053518461774,True,0.05
UGC07690,7,0.9184297325552025,3.214970390870307,142894397.42573246,5106086694.436646,0.5518671209828171,10.067433164913169,0.9264592390058277,0.23161480975145693,4,1094531317.4353366,3092498190.295255,30.060102986321926,True,0.05
UGC07866,7,0.10000000000046323,13.289121191236394,89047996.12041457,190650311.1622839,0.4859685456133798,0.3837045049904322,0.1451483816839973,0.036287095420999324,4,465755574.3447481,550263048.3362266,16.90742343259458,True,0.05
UGC08286,17,0.9369514837628049,0.33135061691029044,135186170.17792502,67503877.64824456,0.9764257990632764,0.21830526326473293,5.607449072692751,0.4005320766209108,14,5735343470.457115,13257648441.950924,48.83255849068986,True,0.05
UGC08490,30,1.148687043153481,0.25577678775651835,101173471.78808913,136328154.05523324,1.056498816865633,0.7660980862095841,2.5998814168538393,0.09629190432791998,27,5437297897.178523,14772371165.146229,50.62566213877798,True,0.05
UGC08550,11,1.3513812305990964,0.17819385164520682,23262575.10605687,19181895.639229298,1.8965597623888801,1.1366339418747318,1.1495974848249153,0.1436996856031144,8,7232139832.182217,4338794909.303202,33.651959177474595,True,0.05
UGC08699,41,0.5191769993564317,0.08136560232439566,39445404536.69119,84585264747.6108,0.11196171339431239,0.11776345040604337,9.437871415268486,0.24836503724390752,38,2522983741.364896,179953322897.89914,116.48605469545731,True,0.05
UGC08837,8,0.10000000000005009,2.45918800960804,10035869.156325473,7135338.579278321,3.9182312969169995,3.382290679160893,1.160394607027937,0.2320789214055874,5,27512789640.092022,2431261302.9540987,27.74370930497249,True,0.05
UGC09037,22,0.10000000000810572,1.4207893948827939,58615313.77091657,87312752.90222366,2.8552016207002726,2.0609884639959715,4.83056961454904,0.2542405060288968,19,62177158077.21752,172211738505.61954,114.79110322287018,True,0.05
UGC09133,68,0.8080238056464721,0.019882204641522995,31595564.759960134,17395372.657879226,5.09384569659217,1.471542158890721,26.254049613100566,0.40390845558616256,65,190314950967.1945,1289315895836.1316,224.56414976969472,True,0.05
UGC09992,5,0.8278154556176723,2.841722054315493,3486058652.5006866,74915684122.91087,0.052505425695626856,0.6331199361186806,0.01955814638431944,0.00977907319215972,2,22996231.44765994,1039848328.7529496,20.90309746186893,True,0.05
UGC10310,7,1.333487873565142,0.8657262061098151,16205879.872339357,84801453.31997333,1.86195401688451,4.32602193038513,0.25140756461334135,0.06285189115333534,4,4767480208.818942,9449883799.836388,43.62105203600911,True,0.05
UGC11455,36,0.47510122882549016,0.06357226633396468,88072923.17735358,24628418.006718386,3.9873195092242013,0.5042842768503573,26.47290611253179,0.802209276137327,33,254445604751.9622,750642648709.816,187.51314791635156,True,0.05
UGC11557,12,0.1000000000000071,1.6247699388971115,28246348.461316764,37839437.85060095,2.5654823146102674,1.6709331131026384,3.9832177466070293,0.4425797496230033,9,21735959556.90419,19568655829.431107,55.59993848712156,True,0.05
UGC11820,10,1.5394979199470087,0.12537998085172838,4027693.2101796106,1663785.7464859306,6.914657873091103,2.4685019965854096,2.0067232854765082,0.2866747550680726,7,60684517395.82614,26021548059.81213,61.140880582594455,True,0.05
UGC11914,65,0.9286707764574633,0.011793902748164428,10559642.166697446,8389108.460658295,49.99999999999999,1133.6193323507282,16.84014023951541,0.27161516515347434,62,60154572392024.77,172322536077.50418,114.81571604150578,True,0.05
UGC12506,31,0.856440674554318,0.14411719745977436,931110204.1139818,614725286.7808164,0.8829036608159767,0.3051662730777958,3.798749063923526,0.13566960942584022,28,29204546598.960133,638280884354.9116,177.64701950854723,True,0.05
UGC12632,15,1.3409138973029464,1.0644562470478338,20636710.2973941,50447996.83232892,1.9580448305756324,2.0471945201423267,0.6415093127152648,0.053459109392938735,12,7060212778.848218,13523875335.08234,49.157263561806296,True,0.05
UGC12732,16,1.5903973474512256,0.1423184430811521,4740591.466318164,2682648.037447209,6.987429452094161,3.2818386252550673,0.7698288755934524,0.059217605814880954,13,73704544761.0468,32964808363.70737,66.15624261601495,True,0.05
UGCA281,7,0.6473128168945952,1.0191587863130136,188201187.27794653,273354148.76708144,0.3306526526021449,0.19759373590128376,0.48755058824666214,0.12188764706166554,4,310061484.19829005,224723410.06974766,12.54402039892025,True,0.05
UGCA442,8,1.7817942467901335,0.96489019830705,13960278.793579848,16605998.50141913,2.6538750686775243,2.200276118928628,2.660813182024915,0.532162636404983,5,11891727385.129816,4912120335.261489,35.0733281518589,True,0.05
UGCA444,36,2.9999999999999996,0.9069501906493083,18886824.938387178,14385885.519873708,1.309632858630574,0.7547207558593222,2.940360055911432,0.089101819876104,33,1933379338.8527646,743523274.3024424,18.69184489788979,True,0.05
